runSeed,testYear,wDE,wCOBYLA
2811363264,2011,"[0.5693154644614702, 0.2429843062166374, 0.18767978228662915, 2.0447035263229923e-05]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
2811363264,2012,"[0.5689094569208908, 0.24175952744165483, 0.18932711360241752, 3.9020350369047274e-06]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
2811363264,2013,"[0.5295773980457602, 0.30285838040296503, 0.15750823700246191, 0.010055984548812968]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
2811363264,2014,"[0.5155095185304879, 0.42283592539921794, 0.05886117390867212, 0.00279338216162194]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
2811363264,2015,"[0.314022808615073, 0.2459694315663409, 0.3188451632617626, 0.12116259655682363]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
2811363264,2016,"[0.41899095348528675, 0.25953937291529355, 0.25109879788511236, 0.07037087571430727]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
2811363264,2017,"[0.3300392762265403, 0.3334303830336227, 0.300510182520028, 0.036020158219809036]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
2811363264,2018,"[0.3246068696436592, 0.3805236698253649, 0.26474411959213767, 0.0301253409388381]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
2811363264,2019,"[0.30690543071916365, 0.41270718329123, 0.2555370000002041, 0.024850385989402278]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
2811363264,2020,"[0.28311930014037834, 0.4438990863209039, 0.26418051160275074, 0.008801101935967047]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
2811363264,2021,"[0.33431218394518436, 0.3584058889714513, 0.2716530348371028, 0.03562889224626155]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
2811363264,2022,"[0.2575441460572987, 0.4645380882517998, 0.23416452856646894, 0.043753237124432486]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
2811363264,2023,"[0.340068979508094, 0.5422715708865684, 0.07908127054746812, 0.038578179057869484]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
1884968544,2007,"[0.43544323524518186, 0.2217390910579449, 0.3409569970762417, 0.0018606766206313585]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
1884968544,2008,"[0.6135457373788272, 0.2983148475512541, 0.08758257350417975, 0.0005568415657389732]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
1884968544,2009,"[0.49958313596942466, 0.27307010676430304, 0.19654344379828975, 0.030803313467982634]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
1884968544,2010,"[0.5151632226544415, 0.14718929118581994, 0.3376471862001919, 2.9995954663264334e-07]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
1884968544,2011,"[0.5703605005930469, 0.23982087859984727, 0.18981528567542594, 3.335131679983062e-06]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
1884968544,2012,"[0.5688619258008993, 0.24351290791500757, 0.18762497017882454, 1.961052684999236e-07]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
1884968544,2013,"[0.4655875917014599, 0.22296515846200593, 0.08639556694150269, 0.22505168289503144]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
1884968544,2014,"[0.5281954908058877, 0.36390892509897704, 0.1078724116375564, 2.317245757883893e-05]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
1884968544,2015,"[0.3114635869541061, 0.2502454409543152, 0.3198190348782777, 0.118471937213301]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
1884968544,2016,"[0.4265555608082036, 0.24944075878846889, 0.2481267276761202, 0.07587695272720735]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
1884968544,2017,"[0.3138266561747953, 0.36711948871453065, 0.2831299487261395, 0.035923906384534576]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
1884968544,2018,"[0.324327767710154, 0.3733064283936297, 0.2687295682242559, 0.03363623567196039]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
1884968544,2019,"[0.3042975814425054, 0.41865212043876715, 0.25596693146656396, 0.021083366652163656]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
1884968544,2020,"[0.3305597811508759, 0.3642172475814809, 0.2706183819849291, 0.034604589282714045]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
1884968544,2021,"[0.33562891576910275, 0.3591582937036261, 0.2709399050467032, 0.03427288548056795]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
1884968544,2022,"[0.27412078871959467, 0.4743987468857891, 0.2083436849921874, 0.043136779402428854]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
1884968544,2023,"[0.34192150131416454, 0.5416222808163013, 0.07792552142298974, 0.03853069644654435]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
1859786275,2007,"[0.44226114393373195, 0.21818768820251463, 0.3352801717777161, 0.004270996086037332]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
1859786275,2008,"[0.6128268604835443, 0.29952093690815246, 0.08747262265514844, 0.00017957995315475586]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
1859786275,2009,"[0.519340904186749, 0.2898950785752528, 0.1578260739205901, 0.032937943317408104]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
1859786275,2010,"[0.5145842502495833, 0.14671384834387904, 0.33870175055164564, 1.5085489209253786e-07]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
1859786275,2011,"[0.5683923280995837, 0.24359211467222286, 0.18801325863142043, 2.298596772915728e-06]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
1859786275,2012,"[0.5689058984853185, 0.24334455337573083, 0.18774880466758676, 7.43471363919237e-07]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
1859786275,2013,"[0.5254500974342542, 0.31103243007442255, 0.14257886663022465, 0.02093860586109865]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
1859786275,2014,"[0.5098116045753902, 0.41827932379580585, 0.07190859798491021, 4.7364389374616036e-07]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
1859786275,2015,"[0.3173833964622866, 0.2435211672016762, 0.31931237767036347, 0.11978305866567378]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
1859786275,2016,"[0.42702190228540154, 0.24210538520657338, 0.26798895901110653, 0.06288375349691842]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
1859786275,2017,"[0.32818454275564707, 0.37805166375491916, 0.2668522839493808, 0.026911509540053002]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
1859786275,2018,"[0.3234392767329993, 0.3790086650865732, 0.2635179774259165, 0.03403408075451098]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
1859786275,2019,"[0.3010252178350959, 0.4146448246385688, 0.2638618281038902, 0.020468129422445053]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
1859786275,2020,"[0.3072563400215778, 0.4092523410851701, 0.2606383428436633, 0.02285297604958886]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
1859786275,2021,"[0.33705277977937736, 0.3567154472791033, 0.2725346129609704, 0.03369715998054879]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
1859786275,2022,"[0.29336657424755164, 0.4696664013865572, 0.21332109494606508, 0.023645929419826125]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
1859786275,2023,"[0.33793089719665753, 0.5447500541520965, 0.07937857865216552, 0.03794046999908049]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
3687649985,2007,"[0.42985558365874005, 0.2112724720645494, 0.30975221510668993, 0.04911972917002067]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
3687649985,2008,"[0.614743357781723, 0.2970117689064719, 0.0866914482507087, 0.0015534250610963476]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
3687649985,2009,"[0.4973108472200393, 0.27165409976149696, 0.20163635494004212, 0.029398698078421607]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
3687649985,2010,"[0.5802635043776102, 0.09421024549379946, 0.3048278451723483, 0.020698404956242058]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
3687649985,2011,"[0.5691245632347546, 0.24117854698227487, 0.18968841667401465, 8.473108955848008e-06]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
3687649985,2012,"[0.5687346055023076, 0.24307916450822034, 0.18818608897463138, 1.4101484084339663e-07]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
3687649985,2013,"[0.5871832188694834, 0.22525344644775805, 0.12300582924577458, 0.06455750543698396]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
3687649985,2014,"[0.5196721723115391, 0.4167803207605859, 0.05878719946282834, 0.0047603074650468796]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
3687649985,2015,"[0.31722593205637045, 0.2503718432401745, 0.31042836547936187, 0.1219738592240932]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
3687649985,2016,"[0.4248056514757975, 0.25106716582255023, 0.2487098720923572, 0.07541731060929516]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
3687649985,2017,"[0.31572737955099894, 0.3630400360142978, 0.2831977840790268, 0.038034800355676385]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
3687649985,2018,"[0.3263474244251975, 0.37773127440175613, 0.2665476345658046, 0.02937366660724179]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
3687649985,2019,"[0.30534335671996954, 0.4102815582522363, 0.261199334480157, 0.02317575054763707]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
3687649985,2020,"[0.2820094588264307, 0.405228456599691, 0.28481872016589105, 0.02794336440798725]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
